,start time of acquisition for pass 1,stop time of acquisition for pass 1,start time of acquisition for pass 2,stop time of acquisition for pass 2,peg heading,approximate upper left latitude,approximate upper left longitude,approximate upper right latitude,approximate upper right longitude,approximate lower left latitude,approximate lower left longitude,approximate lower right latitude,approximate lower right longitude,name
0,2020-02-26 10:24:55-07:00,2020-02-26 10:28:13-07:00,2020-03-12 12:53:01-06:00,2020-03-12 12:56:44-06:00,-43.945991183,39.05535363,-107.1994201,39.19727331,-107.03300706,38.78779638,-106.86755915,38.91523731,-106.71244431,peeler_31619_20013-003_20017-008_0015d.csv
1,2020-02-19 11:42:55-07:00,2020-02-19 11:45:25-07:00,2020-03-12 11:08:09-06:00,2020-03-12 11:11:06-06:00,-38.95658094,40.50442114,-106.02235365,40.63405551,-105.84516923,40.2787874,-105.78273204,40.41435891,-105.60115892,rockmt_32109_20008-009_20017-003_0022d.csv
2,2020-02-26 11:24:28-07:00,2020-02-26 11:27:26-07:00,2020-03-12 10:54:00-06:00,2020-03-12 10:56:53-06:00,140.95086143,40.59008616,-106.10167743,40.70649936,-105.89475772,40.30481424,-105.7820001,40.41553003,-105.58940976,rockmt_14107_20013-006_20017-002_0015d.csv
3,2020-02-20 18:22:11-07:00,2020-02-20 18:24:51-07:00,2020-03-11 11:13:45-06:00,2020-03-11 11:16:34-06:00,-12.975212754,43.295049,-116.93260413,43.35394689,-116.66115196,42.97212277,-116.83032539,43.02505904,-116.57738242,silver_34715_20011-001_20016-002_0019d.csv
4,2020-02-19 11:01:20-07:00,2020-02-19 11:03:25-07:00,2020-02-26 11:24:41-07:00,2020-02-26 11:27:00-07:00,140.94860507,40.56695553,-106.07524119,40.6855774,-105.87467186,40.34490313,-105.82815159,40.46081978,-105.63312665,rockmt_14107_20008-006_20013-006_0007d.csv
5,2020-02-19 10:02:45-07:00,2020-02-19 10:05:24-07:00,2020-02-26 10:25:09-07:00,2020-02-26 10:27:43-07:00,-43.9455134,39.01454242,-107.15060204,39.13765275,-106.99695502,38.80817513,-106.89019692,38.93160375,-106.73570293,peeler_31619_20008-003_20013-003_0007d.csv
6,2020-02-12 11:10:13-07:00,2020-02-12 11:12:33-07:00,2020-02-19 11:42:54-07:00,2020-02-19 11:45:25-07:00,-38.950133195,40.50627889,-106.02438733,40.62981477,-105.83907733,40.28092435,-105.78484076,40.40592301,-105.59726884,rockmt_32109_20005-012_20008-009_0007d.csv
7,2020-02-13 13:47:43-07:00,2020-02-13 13:57:11-07:00,2020-02-20 18:53:17-07:00,2020-02-20 19:03:06-07:00,-127.80396868,44.43916499,-115.13277195,44.30283648,-114.98853942,43.77831519,-116.36884049,43.62877609,-116.21008123,lowman_23205_20007-003_20011-003_0008d.csv
8,2020-02-20 18:53:17-07:00,2020-02-20 19:03:06-07:00,2020-03-11 11:45:46-06:00,2020-03-11 11:55:49-06:00,-127.80531173,44.43918378,-115.13277131,44.30239606,-114.98943888,43.77857199,-116.3683188,43.62839576,-116.21073102,lowman_23205_20011-003_20016-004_0019d.csv
9,2020-02-12 10:27:06-07:00,2020-02-12 10:29:54-07:00,2020-02-19 11:01:09-07:00,2020-02-19 11:03:49-07:00,140.94974686,40.58719551,-106.09800397,40.70576826,-105.89402368,40.30203617,-105.78077119,40.41488392,-105.58877306,rockmt_14107_20005-009_20008-006_0007d.csv
10,2020-02-12 09:37:57-07:00,2020-02-12 09:40:19-07:00,2020-02-19 10:02:45-07:00,2020-02-19 10:05:23-07:00,-43.945876681,39.01398658,-107.14998013,39.13752122,-106.99672093,38.80765811,-106.88953342,38.93145665,-106.73548936,peeler_31619_20005-006_20008-003_0007d.csv
11,2020-01-31 14:30:00-07:00,2020-01-31 14:40:09-07:00,2020-02-13 13:47:30-07:00,2020-02-13 13:57:40-07:00,-127.80433127,44.45487583,-115.10204143,44.31764475,-114.96087513,43.74820284,-116.42912267,43.59358179,-116.27164655,lowman_23205_20002-007_20007-003_0013d.csv
12,2020-01-31 18:15:13-07:00,2020-01-31 18:17:54-07:00,2020-02-12 10:27:06-07:00,2020-02-12 10:29:54-07:00,140.99004409,40.58178354,-106.09158596,40.70842399,-105.89646296,40.2963599,-105.77961111,40.41697553,-105.59095543,rockmt_14107_20003-000_20005-009_0011d.csv
13,2019-12-20 13:57:18-07:00,2019-12-20 13:59:54-07:00,2020-02-12 09:37:56-07:00,2020-02-12 09:40:19-07:00,-43.946878146,39.01510022,-107.15121245,39.13518328,-106.99457244,38.80832587,-106.8903652,38.92884966,-106.73239165,peeler_31619_19084-021_20005-006_0054d.csv
14,2019-12-20 12:31:07-07:00,2019-12-20 12:42:08-07:00,2020-01-31 14:30:13-07:00,2020-01-31 14:39:41-07:00,-127.8052662,44.44067977,-115.12998616,44.30115318,-114.99196088,43.78199429,-116.36210269,43.62744199,-116.21238663,lowman_23205_19084-017_20002-007_0042d.csv
15,2020-01-31 19:13:16-07:00,2020-01-31 19:15:58-07:00,2020-02-12 09:47:20-07:00,2020-02-12 09:49:45-07:00,-85.924731957,39.15667695,-108.28273699,39.12097095,-107.91433016,38.98000305,-108.30396089,38.95791463,-107.93239805,grmesa_27416_20003-028_20005-007_0011d.csv
